customer_id,recency,frequency,monetary,r_score,f_score,m_score,fm_score,rfm_segment
1279,976,1,411.89,2,3,3,3,Customers Needing Attention
1280,412,0.666666667,710.4,4,3,4,4,Loyal Customers
1281,602,1,405.79,3,3,3,3,Potential Loyalists
1282,490,1,496.65,3,3,3,3,Potential Loyalists
1284,848,0.064516129,264.65,2,1,2,2,Customers Needing Attention
1285,30,0.25,491.82,5,3,3,3,Loyal Customers
1286,1625,1,419.63,1,3,3,3,At Risk
1287,457,0.052631579,663.83,4,1,4,3,Potential Loyalists
1288,699,1,322.2,3,3,2,3,Potential Loyalists
1291,447,1,60.3,4,3,1,2,Potential Loyalists
1294,544,0.3,960.84,3,3,5,4,Loyal Customers
1295,337,0.075,827.97,4,1,5,3,Potential Loyalists
1296,7,0.115384615,662.82,5,2,4,3,Loyal Customers
1297,596,0.052631579,728.6,3,1,4,3,Potential Loyalists
1298,707,0.071428571,694.21,3,1,4,3,Potential Loyalists
1299,1459,1,351.63,1,3,2,3,At Risk
1301,480,0.097560976,682.18,3,2,4,3,Potential Loyalists
1303,642,1,159.32,3,3,1,2,Customers Needing Attention
1304,1603,1,296.93,1,3,2,3,At Risk
1305,232,1,883.11,4,3,5,4,Loyal Customers
1306,89,1,313.67,5,3,2,3,Loyal Customers
1307,343,1,323.95,4,3,2,3,Potential Loyalists
1308,1135,1,445.25,2,3,3,3,Customers Needing Attention
1309,181,1,14.18,5,3,1,2,Potential Loyalists
1310,231,0.055555556,877.85,4,1,5,3,Potential Loyalists
1311,503,1,135.4,3,3,1,2,Customers Needing Attention
1312,389,0.333333333,362.15,4,3,2,3,Potential Loyalists
1313,553,1,289.75,3,3,2,3,Potential Loyalists
1314,342,1,145.82,4,3,1,2,Potential Loyalists
1315,446,0.08,299.6,4,2,2,2,Potential Loyalists
1317,968,1,377.02,2,3,2,3,Customers Needing Attention
1318,353,1,282.18,4,3,2,3,Potential Loyalists
1319,619,0.121212121,908.89,3,2,5,4,Loyal Customers
1320,520,1,429.8,3,3,3,3,Potential Loyalists
1321,221,1,431.3,4,3,3,3,Potential Loyalists
1322,493,0.078947368,828.34,3,1,5,3,Potential Loyalists
1323,319,0.153846154,701.98,4,3,4,4,Loyal Customers
1324,47,0.076923077,1301.89,5,1,5,3,Loyal Customers
1325,573,1,396.93,3,3,3,3,Potential Loyalists
1326,139,0.088888889,1011.39,5,2,5,4,Champions
1327,1714,1,372.36,1,3,2,3,At Risk
1328,959,0.086956522,516.03,2,2,3,3,Customers Needing Attention
1330,432,0.222222222,595.66,4,3,4,4,Loyal Customers
1333,165,0.04,232.88,5,1,2,2,Potential Loyalists
1334,538,1,351.02,3,3,2,3,Potential Loyalists
1335,442,1,260.89,4,3,2,3,Potential Loyalists
1338,48,0.285714286,438.47,5,3,3,3,Loyal Customers
1339,358,0.2,628.72,4,3,4,4,Loyal Customers
1340,130,0.05,923.42,5,1,5,3,Loyal Customers
1341,326,0.095238095,1184.8,4,2,5,4,Loyal Customers
1343,1262,0.272727273,850.18,1,3,5,4,Cant Lose Them
1344,454,1,333.44,4,3,2,3,Potential Loyalists
1346,139,0.0625,374.2,5,1,2,2,Potential Loyalists
1347,1638,1,82.1,1,3,1,2,Hibernating
1348,1510,1,324.48,1,3,2,3,At Risk
1349,36,0.1,1096.13,5,2,5,4,Champions
1351,441,0.111111111,834.88,4,2,5,4,Loyal Customers
1352,211,1,29.48,4,3,1,2,Potential Loyalists
1353,1560,1,29.62,1,3,1,2,Hibernating
1354,318,0.133333333,392.48,4,2,3,3,Potential Loyalists
1355,175,0.071428571,1075.69,5,1,5,3,Loyal Customers
1356,11,0.095238095,612.3,5,2,4,3,Loyal Customers
1357,1265,0.136363636,434.71,1,3,3,3,At Risk
1358,1196,0.1,170.63,2,2,1,2,Customers Needing Attention
1359,259,0.051282051,668.64,4,1,4,3,Potential Loyalists
1361,651,1,437.18,3,3,3,3,Potential Loyalists
1362,1818,1,101.11,1,3,1,2,Hibernating
1364,155,0.041666667,930.39,5,1,5,3,Loyal Customers
1366,433,0.066666667,785.09,4,1,4,3,Potential Loyalists
1367,508,1,129.4,3,3,1,2,Customers Needing Attention
1368,1825,2,389.14,1,5,3,4,Cant Lose Them
1369,214,0.048780488,875.44,4,1,5,3,Potential Loyalists
1371,701,0.105263158,574.93,3,2,4,3,Potential Loyalists
1372,340,0.104166667,1165.06,4,2,5,4,Loyal Customers
1374,664,1,126.63,3,3,1,2,Customers Needing Attention
1375,446,0.063829787,1179.24,4,1,5,3,Potential Loyalists
1376,1427,1,206.74,1,3,1,2,Hibernating
1377,215,0.075,1092.87,4,1,5,3,Potential Loyalists
1378,820,0.1,705.07,2,2,4,3,Customers Needing Attention
1379,170,0.095238095,788.05,5,2,5,4,Champions
1380,955,0.08,591.85,2,2,4,3,Customers Needing Attention
1381,15,0.04,473.67,5,1,3,2,Potential Loyalists
1382,775,0.103448276,995.33,3,2,5,4,Loyal Customers
1383,43,0.032258065,625.51,5,1,4,3,Loyal Customers
1384,164,1,480.37,5,3,3,3,Loyal Customers
1385,528,0.095238095,364.85,3,2,2,2,Customers Needing Attention
1387,521,0.052631579,392.37,3,1,3,2,Customers Needing Attention
1388,537,0.108695652,1782.09,3,2,5,4,Loyal Customers
1389,1435,1,459.67,1,3,3,3,At Risk
1391,888,0.25,288.3,2,3,2,3,Customers Needing Attention
1392,1689,1,457.32,1,3,3,3,At Risk
1393,429,0.222222222,656.98,4,3,4,4,Loyal Customers
1394,1049,0.210526316,1464.6,2,3,5,4,At Risk
1395,1200,1,229.7,2,3,2,3,Customers Needing Attention
1396,191,0.076923077,855.67,5,1,5,3,Loyal Customers
1397,411,1,122.7,4,3,1,2,Potential Loyalists
1398,333,1,306.45,4,3,2,3,Potential Loyalists
1399,388,0.068965517,727.67,4,1,4,3,Potential Loyalists
1401,965,1,167.03,2,3,1,2,Customers Needing Attention
1402,830,1,79.92,2,3,1,2,Customers Needing Attention
1403,1280,1,165.37,1,3,1,2,Hibernating
1405,274,0.2,682.63,4,3,4,4,Loyal Customers
1406,1910,1,290.28,1,3,2,3,At Risk
1407,1238,1,204.7,1,3,1,2,Hibernating
1408,88,0.12,928.35,5,2,5,4,Champions
1409,1158,1,139.92,2,3,1,2,Customers Needing Attention
1410,493,1,279.7,3,3,2,3,Potential Loyalists
1413,1482,1,160.87,1,3,1,2,Hibernating
1414,571,1,348.84,3,3,2,3,Potential Loyalists
1415,459,1,495.23,4,3,3,3,Potential Loyalists
1416,1307,0.157894737,1156.54,1,3,5,4,Cant Lose Them
1418,2,0.071428571,739.71,5,1,4,3,Loyal Customers
1419,1798,1,140.17,1,3,1,2,Hibernating
1420,122,0.052631579,608.29,5,1,4,3,Loyal Customers
1421,946,1,67.56,2,3,1,2,Customers Needing Attention
1422,1162,0.153846154,548.11,2,3,4,4,At Risk
1423,819,0.148148148,1293.73,2,3,5,4,At Risk
1424,436,1,260.16,4,3,2,3,Potential Loyalists
1425,1177,0.214285714,837.73,2,3,5,4,At Risk
1427,59,0.285714286,352.29,5,3,2,3,Loyal Customers
1428,847,0.12,987.81,2,2,5,4,At Risk
1429,1843,1,271.38,1,3,2,3,At Risk
1430,1112,0.181818182,495.25,2,3,3,3,Customers Needing Attention
1431,117,0.037735849,598.05,5,1,4,3,Loyal Customers
1432,405,0.133333333,1277.97,4,2,5,4,Loyal Customers
1433,1562,1,12.21,1,3,1,2,Hibernating
1434,1033,1,411.09,2,3,3,3,Customers Needing Attention
1435,961,1,327.94,2,3,2,3,Customers Needing Attention
1436,107,0.054545455,695.73,5,1,4,3,Loyal Customers
1437,712,1,45.87,3,3,1,2,Customers Needing Attention
1438,228,0.153846154,352.46,4,3,2,3,Potential Loyalists
1439,1129,0.266666667,807.8,2,3,5,4,At Risk
1440,39,0.068965517,1128.88,5,1,5,3,Loyal Customers
1441,502,1,490.54,3,3,3,3,Potential Loyalists
1443,1524,1,412.64,1,3,3,3,At Risk
1444,1248,1,51.13,1,3,1,2,Hibernating
1445,1036,0.666666667,391.06,2,3,3,3,Customers Needing Attention
1447,38,0.125,1091.22,5,2,5,4,Champions
1448,562,1,629.54,3,3,4,4,Loyal Customers
1449,773,1,319.1,3,3,2,3,Potential Loyalists
1450,435,0.1,343.71,4,2,2,2,Potential Loyalists
1451,331,0.125,1300.37,4,2,5,4,Loyal Customers
1452,1709,1,499.03,1,3,3,3,At Risk
1453,101,0.038461538,173.82,5,1,1,1,Recent Customers
1454,226,1,60.79,4,3,1,2,Potential Loyalists
1455,1243,0.095238095,458.77,1,2,3,3,At Risk
1456,396,0.069767442,602.95,4,1,4,3,Potential Loyalists
1457,464,0.076923077,1232.72,4,1,5,3,Potential Loyalists
1458,123,1,426.95,5,3,3,3,Loyal Customers
1459,38,0.076923077,489.78,5,1,3,2,Potential Loyalists
1460,31,0.033333333,823.73,5,1,5,3,Loyal Customers
1462,426,0.105263158,820.17,4,2,5,4,Loyal Customers
1464,1881,1,367.24,1,3,2,3,At Risk
1466,809,1,237.61,2,3,2,3,Customers Needing Attention
1467,53,1,90.37,5,3,1,2,Potential Loyalists
1468,638,1,27.23,3,3,1,2,Customers Needing Attention
1469,1784,1,14.34,1,3,1,2,Hibernating
1470,1131,1,438.32,2,3,3,3,Customers Needing Attention
1471,159,0.063829787,1059.52,5,1,5,3,Loyal Customers
1473,786,1,49.72,2,3,1,2,Customers Needing Attention
1474,64,0.033333333,152.38,5,1,1,1,Recent Customers
1475,897,0.071428571,661.1,2,1,4,3,Customers Needing Attention
1476,848,0.074074074,816.13,2,1,5,3,Customers Needing Attention
1477,235,0.055555556,791.46,4,1,5,3,Potential Loyalists
1478,356,0.333333333,461.1,4,3,3,3,Potential Loyalists
1479,65,1,119.77,5,3,1,2,Potential Loyalists
1480,800,1,623.08,2,3,4,4,At Risk
1481,1718,1,297.18,1,3,2,3,At Risk
1482,354,1,462.54,4,3,3,3,Potential Loyalists
1483,995,0.153846154,555.55,2,3,4,4,At Risk
1484,67,0.070175439,757.7,5,1,4,3,Loyal Customers
1485,251,1,320.72,4,3,2,3,Potential Loyalists
1486,447,0.075,770.54,4,1,4,3,Potential Loyalists
1488,1499,1,55.91,1,3,1,2,Hibernating
1489,1143,1,72.61,2,3,1,2,Customers Needing Attention
1491,345,0.161290323,1495.48,4,3,5,4,Loyal Customers
1493,581,1,627.19,3,3,4,4,Loyal Customers
1494,7,0.121212121,674.57,5,2,4,3,Loyal Customers
1495,327,1,434.53,4,3,3,3,Potential Loyalists
1496,1392,1,409.12,1,3,3,3,At Risk
1497,394,0.272727273,807.14,4,3,5,4,Loyal Customers
1498,97,0.106382979,1633.88,5,2,5,4,Champions
1499,779,0.125,664.88,3,2,4,3,Potential Loyalists
1500,1461,0.363636364,925.57,1,3,5,4,Cant Lose Them
1501,1,0.032258065,600.36,5,1,4,3,Loyal Customers
1502,346,0.117647059,268.34,4,2,2,2,Potential Loyalists
1504,191,0.081081081,609.14,5,2,4,3,Loyal Customers
1505,13,0.054054054,509.05,5,1,3,2,Potential Loyalists
1507,1490,1,289.41,1,3,2,3,At Risk
1509,215,0.052631579,489.42,4,1,3,2,Potential Loyalists
1510,212,0.11627907,639.56,4,2,4,3,Potential Loyalists
1512,1930,1,372.73,1,3,2,3,At Risk
1513,662,0.125,1123.88,3,2,5,4,Loyal Customers
1514,505,1,74.02,3,3,1,2,Customers Needing Attention
1515,159,0.071428571,546.39,5,1,4,3,Loyal Customers
1517,529,1,437.79,3,3,3,3,Potential Loyalists
1518,655,0.666666667,359.81,3,3,2,3,Potential Loyalists
1519,522,0.045454545,227.64,3,1,2,2,Customers Needing Attention
1521,1929,1,289.8,1,3,2,3,At Risk
1522,359,1,228.78,4,3,2,3,Potential Loyalists
1523,330,1,405.34,4,3,3,3,Potential Loyalists
1524,1125,1,477.25,2,3,3,3,Customers Needing Attention
1530,186,0.09375,533.48,5,2,4,3,Loyal Customers
1531,276,0.081632653,1364.37,4,2,5,4,Loyal Customers
1532,1376,0.176470588,833.1,1,3,5,4,Cant Lose Them
1533,657,1,287.64,3,3,2,3,Potential Loyalists
1534,580,1,331.96,3,3,2,3,Potential Loyalists
1535,1149,0.083333333,303.75,2,2,2,2,Customers Needing Attention
1536,53,0.068965517,437.13,5,1,3,2,Potential Loyalists
1537,1675,1,398.6,1,3,3,3,At Risk
1538,634,1,205.26,3,3,1,2,Customers Needing Attention
1539,850,1,97.88,2,3,1,2,Customers Needing Attention
1540,724,0.075,1217.94,3,1,5,3,Potential Loyalists
1541,1477,1,21.3,1,3,1,2,Hibernating
1542,56,0.034482759,447.89,5,1,3,2,Potential Loyalists
1543,1036,0.222222222,1672.26,2,3,5,4,At Risk
1544,479,1,387.02,3,3,3,3,Potential Loyalists
1545,219,1,175.36,4,3,1,2,Potential Loyalists
1546,24,0.032786885,577.27,5,1,4,3,Loyal Customers
1547,27,0.048780488,275.27,5,1,2,2,Potential Loyalists
1548,58,1,400.19,5,3,3,3,Loyal Customers
1549,1512,1,469.81,1,3,3,3,At Risk
1550,998,0.125,932.52,2,2,5,4,At Risk
1551,415,0.222222222,531.98,4,3,4,4,Loyal Customers
1553,36,1,135.9,5,3,1,2,Potential Loyalists
1554,1233,1,167.96,1,3,1,2,Hibernating
1555,663,0.048780488,858.09,3,1,5,3,Potential Loyalists
1556,831,1,356.45,2,3,2,3,Customers Needing Attention
1558,83,0.09375,1326.88,5,2,5,4,Champions
1560,570,0.083333333,1129.28,3,2,5,4,Loyal Customers
1562,769,0.081081081,827.34,3,2,5,4,Loyal Customers
1563,1352,1,347.71,1,3,2,3,At Risk
1564,921,1,245.57,2,3,2,3,Customers Needing Attention
1566,285,1,122.08,4,3,1,2,Potential Loyalists
1567,653,1,491.65,3,3,3,3,Potential Loyalists
1568,387,0.074074074,592.15,4,1,4,3,Potential Loyalists
1569,673,1,212.85,3,3,1,2,Customers Needing Attention
1570,1040,0.222222222,560.22,2,3,4,4,At Risk
1571,641,0.130434783,411.72,3,2,3,3,Potential Loyalists
1572,564,1,25.3,3,3,1,2,Customers Needing Attention
1573,242,1,197.61,4,3,1,2,Potential Loyalists
1574,1541,1,107.25,1,3,1,2,Hibernating
1575,84,0.035087719,315.19,5,1,2,2,Potential Loyalists
1576,175,0.0625,1010.39,5,1,5,3,Loyal Customers
1577,177,0.3,1104.03,5,3,5,4,Champions
